Power_mW	Cell.size_um2	target_cell_induction	neighborings_induction	local_cells_induction	cell_death
7	2134.787	0	0	0	0
7	3862.759	0	0	0	0
7	2898.931	0	0	0	0
7	2275.744	0	0	0	0
7	1034.782	0	0	0	0
6.5	3290.72	0	0	0	0
7.5	3258.848	0	0	0	0
7.5	3178.52	0	0	0	0
7.5	2413.294	0	0	0	0
7.5	1444.66	0	0	0	0
8.5	3801.021	0	0	0	0
8.5	4035.139	0	0	0	0
9.5	4622.757	0	0	0	0
7	4498.912	0	0	0	0
6.5	1299.769	0	0	0	0
6.5	2211.127	0	0	0	0
6.5	3152.748	0	0	0	0
6.5	4893.026	0	0	0	0
6.5	4277.839	0	0	0	0
6.5	4197.194	0	0	0	0
6.5	4285.761	0	0	0	0
6.5	3862.944	0	0	0	0
6.5	1005.392	0	0	0	0
6.5	2139.118	0	0	0	0
6.5	2651.161	0	0	0	0
6.5	3357.634	0	0	0	0
6.5	2415.089	0	0	0	0
6.5	1412.84	0	0	0	0
6.5	5396.091	0	0	0	0
6.5	4823.682	0	0	0	0
6.5	5447.53	0	0	0	0
6.5	991.502	0	0	0	0
6.5	2898.007	0	0	0	0
6.5	3431.228	0	0	0	0
6.5	3844.037	0	0	0	0
6.5	2037.612	0	0	0	0
6.5	3788.188	0	0	0	0
6.5	4508.101	0	0	0	0
6.5	3742.373	0	0	0	0
6	1051.761	0	0	0	0
6	3804.084	0	0	0	0
6	4442.323	0	0	0	0
6	1542.151	0	0	0	0
6	4032.366	0	0	0	0
6	1980.574	0	0	0	0
6	2888.949	0	0	0	0
6	974.945	0	0	0	0
6	2422.641	0	0	0	0
6	1178.088	0	0	0	0
6	2380.682	0	0	0	0
6	3405.693	0	0	0	0
6	821.657	0	0	0	0
6	4033.66	0	0	0	0
6	3649.185	0	0	0	0
6	4383.781	0	0	0	0
6	4122.887	0	0	0	0
6	4053.518	0	0	0	0
6	3810.924	0	0	0	0
6	3849.873	0	0	0	0
6	3750.084	0	0	0	0
6	909.22	0	0	0	0
6	5184.498	0	0	0	0
6	2535.449	0	0	0	0
6	3210.683	0	0	0	0
6	2720.715	0	0	0	0
6	4860.73	0	0	0	0
5.5	945.713	0	0	0	0
5.5	1986.437	0	0	0	0
5.5	4184.255	0	0	0	0
5.5	3554.308	0	0	0	0
5.5	3066.98	0	0	0	0
5.5	3137.723	0	0	0	0
5.5	4304.325	0	0	0	0
5.5	2920.822	0	0	0	0
5.5	3311.397	0	0	0	0
5.5	706.394	0	0	0	0
5.5	3219.397	0	0	0	0
5.5	5863.667	0	0	0	0
5.5	4189.299	0	0	0	0
5.5	2785.12	0	0	0	0
5.5	5632.269	0	0	0	0
5.5	4964.454	0	0	0	0
5.5	1096.308	0	0	0	0
5.5	2088.365	0	0	0	0
5.5	2753.142	0	0	0	0
5.5	2885.358	0	0	0	0
5.5	3136.112	0	0	0	0
5.5	3917.948	0	0	0	0
5.5	5775.443	0	0	0	0
5.5	3526.793	0	0	0	0
5.5	744.868	0	0	0	0
5.5	3308.73	0	0	0	0
5.5	3225.999	0	0	0	0
5.5	2778.281	0	0	0	0
5.5	3143.955	0	0	0	0
5.5	4189.405	0	0	0	0
6	4346.073	0	0	0	0
6	4185.285	0	0	0	0
6	4087.107	0	0	0	0
6	966.654	0	0	0	0
6	3615.782	0	0	0	0
6	2671.309	0	0	0	0
6	2653.617	0	0	0	0
6	4831.129	0	0	0	0
6	1901.461	0	0	0	0
6	1882.713	0	0	0	0
5.5	620.072	0	0	0	0
5.5	3204.135	0	0	0	0
5.5	2841.577	0	0	0	0
5.5	2323.671	0	0	0	0
5.5	2703.842	0	0	0	0
5.5	1161.981	0	0	0	0
5.5	2923.093	0	0	0	0
5.5	2426.708	0	0	0	0
5.5	3336.377	0	0	0	0
5.5	3724.602	0	0	0	0
5.5	3275.431	0	0	0	0
5.5	4361.415	0	0	0	0
5.5	1295.253	0	0	0	0
5.5	4872.059	0	0	0	0
6.5	3638.755	0	0	0	0
6.5	449.302	0	0	0	0
6.5	2972.869	0	0	0	0
6.5	4229.463	0	0	0	0
